title, description, instructor, rating, enrollmentcount, totalhours, totallectures, level, price, image_url
"The Complete 2023 Web Development Bootcamp","Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, MongoDB, Web3 and DApps",Dr. Angela Yu,4.7,326420,63,398,All Levels, 399.99,https://img-c.udemycdn.com/course/480x270/1565838_e54e_16.jpg
"The Web Developer Bootcamp 2023","10 Hours of React just added. Become a Developer With ONE course - HTML, CSS, JavaScript, React, Node, MongoDB and More!",Colt Steele,4.7,264670,74,722,All Levels, 399.99,https://img-c.udemycdn.com/course/480x270/625204_436a_3.jpg
"Angular - The Complete Guide (2023 Edition)","Master Angular and build awesome, reactive web apps with the successor of Angular.js",Maximilian Schwarzmüller,4.6,191492,36.5,499,All Levels, 529.99,https://img-c.udemycdn.com/course/480x270/756150_c033_2.jpg
"The Complete JavaScript Course 2023: From Zero to Expert","The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",Jonas Schmedtmann,4.7,188860,68.5,320,All Levels, 469.99,https://img-c.udemycdn.com/course/480x270/851712_fc61_6.jpg
"Build Responsive Real-World Websites with HTML and CSS","Learn modern HTML5, CSS3 and web design by building a stunning website for your portfolio! Includes flexbox and CSS Grid",Jonas Schmedtmann,4.7,99676,37.5,151,Beginner, 399.99,https://img-c.udemycdn.com/course/480x270/437398_46c3_10.jpg
"Modern React with Redux [2023 Update","Master React and Redux Toolkit. Includes RTK Query, tons of custom hooks, and more! Course 100% Updated November 2022",Stephen Grider,4.7,84358,37.5,412,Beginner, 399.99,https://img-c.udemycdn.com/course/480x270/705264_caa9_13.jpg
"The Complete Web Developer Course 3.0","Learn Web Development in 2023! Build apps, website, projects using HTML, CSS, Javascript, PHP, Python, MySQL & more!",Rob Percival,4.5,71652,31,221,Beginner, 379.99,https://img-c.udemycdn.com/course/480x270/764164_de03_5.jpg
"The Complete Web Developer in 2023: Zero to Mastery","Learn to code and become a Web Developer in 2023 with HTML, CSS, Javascript, React, Node.js, Machine Learning & more!",Andrei Neagoie,4.6,62769,39.5,414,Beginner, 429.99,https://img-c.udemycdn.com/course/480x270/1430746_2f43_10.jpg
"Vue - The Complete Guide (include Router & Composition API)","Vue.js is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!",Maximilian Schwarzmüller,4.7,60690,32,330,Intermediate, 399.99,https://img-c.udemycdn.com/course/480x270/995016_ebf4_3.jpg
"JavaScript: Understanding the Weird Parts","An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",Anthony Alicea,4.7,47353,12,89,Intermediate, 379.99,https://img-c.udemycdn.com/course/480x270/364426_2991_6.jpg
"Master Microservices with Spring Boot and Spring Cloud","Java Spring Boot Microservices 5-in-1 - Spring Boot, Spring Cloud, Docker, Kubernetes and REST API (REST Web Services)",Jonas Schmedtmann,4.6,47237,22,266,Intermediate, 399.99,https://img-c.udemycdn.com/course/480x270/1352468_3d97_8.jpg
"Understanding TypeScript","Boost your JavaScript projects with TypeScript: Learn all about core types, generics, TypeScript + React or Node & more!",Andrei Neagoie,4.6,45700,15,198,Intermediate, 399.99,https://img-c.udemycdn.com/course/480x270/947098_02ec_2.jpg
"Advanced CSS and Sass: Flexbox, Grid, Animations and More","The most advanced and modern CSS course on the internet: master flexbox, CSS Grid, responsive design, and so much more.",Jonas Schmedtmann,4.8,42033,28,126,Expert, 399.99,https://img-c.udemycdn.com/course/480x270/1026604_790b_2.jpg
"Modern JavaScript From The Beginning 2.0 - 2023 Revamp","A 36-hour master course to take you from beginner to advanced JavaScript",Brad Traversy,4.7,32130,36.5,265,All Levels,399.99,https://img-c.udemycdn.com/course/480x270/1463348_52a4_4.jpg
"Learn and Understand NodeJS","Dive deep under the hood of NodeJS. Learn V8, Express, the MEAN stack, core Javascript concepts, and more.",Anthony Alicea,4.6,28791,13,97,All Levels,279.99,https://img-c.udemycdn.com/course/480x270/461160_8d87_6.jpg
"Complete React Developer in 2023 (w/ Redux, Hooks, GraphQL)","Updated! Become a Senior React Developer. Build a massive E-commerce app with Redux, Hooks, GraphQL, Stripe, Firebase",Yihua Zhang,4.5,27429,42.5,346,All Levels,399.99,https://img-c.udemycdn.com/course/480x270/2365628_0b60_9.jpg
"The Complete Angular Course: Beginner to Advanced","The most comprehensive Angular 4 (Angular 2+) course. Build a real e-commerce app with Angular, Firebase and Bootstrap 4",Mosh Hamedani,4.3,27001,29.5,376,All Levels,429.99,https://img-c.udemycdn.com/course/480x270/1247828_32bb.jpg
"Ethereum and Solidity: The Complete Developer's Guide","Use Ethereum, Solidity, and Smart Contracts to build production-ready apps based on the blockchain",Stephen Grider,4.5,26131,24,269,All Levels,399.99,https://img-c.udemycdn.com/course/480x270/1466612_bead_3.jpg
"Modern HTML & CSS From The Beginning (Including Sass)","Build modern responsive websites & UIs with HTML5, CSS3 & Sass! Learn Flex & CSS Grid",Brad Traversy,4.7,25889,21,129,All Levels,379.99,https://img-c.udemycdn.com/course/480x270/2153774_bef0_4.jpg
"Responsive Web Design: HTML5 + CSS3 for Entrepreneurs 2018","Build a coding foundation as an entrepreneur, where I’ll take you through the entire process of coding your own website",Margot Dukes,4.6,25207,5.5,58,Beginner,229.99,https://img-c.udemycdn.com/course/480x270/505208_2307_5.jpg
"PHP for Beginners - Become a PHP Master - CMS Project","PHP for Beginners: learn everything you need to become a professional PHP developer with practical exercises & projects.",Edwin Diaz,4.3,24131,37,336,All Levels,399.99,https://img-c.udemycdn.com/course/480x270/405282_27d2_3.jpg
"Angular & NodeJS - The MEAN Stack Guide [2023 Edition]","Learn how to connect your Angular Frontend to a NodeJS & Express & MongoDB Backend by building a real Application",Maximilian Schwarzmüller,4.5,23975,12.5,152,All Levels,469.99,https://img-c.udemycdn.com/course/480x270/833442_b26e_5.jpg
"Python for beginners","Master the fundamentals of Python while working on various usecases in easy steps",Bharath Thippireddy,4.5,23650,15,330,All Levels,379.99,https://img-c.udemycdn.com/course/480x270/1386294_cf10_3.jpg
"The Complete React Developer Course (w/ Hooks and Redux)","Learn how to build and launch React web applications using React, Redux, Webpack, React-Router, and more!",Andrew Mead,4.4,22964,39,200,Beginner,279.99,https://img-c.udemycdn.com/course/480x270/1286908_1773_6.jpg
"Become a WordPress Developer: Unlocking Power With Code","Learn PHP, JavaScript, WordPress theming & the WP REST API to Create Custom & Interactive WordPress Websites",Brad Schiff,4.7,22574,42,210,All Levels,399.99,https://img-c.udemycdn.com/course/480x270/1010586_b622_3.jpg
"Build an app with ASPNET Core and Angular from scratch","A practical example of how to build an application with ASP.NET Core API and Angular from start to finish",Neil Cummings,4.6,21659,35.5,280,Beginner,699.99,https://img-c.udemycdn.com/course/480x270/1455016_0b2d_2.jpg
"Learn and Understand AngularJS","Master AngularJS and the Javascript concepts behind it, design custom directives, and build a single page application.",Anthony Alicea,4.6,21657,7,55,All Levels,269.99,https://img-c.udemycdn.com/course/480x270/289230_1056_16.jpg
"REST APIs with Flask and Python in 2023","Build professional REST APIs with Python, Flask, Docker, Flask-Smorest, and Flask-SQLAlchemy",Jose Salvatierra,4.6,21138,12,123,Intermediate,399.99,https://img-c.udemycdn.com/course/480x270/970600_68be_4.jpg
"HTML and CSS for Beginners - Build a Website & Launch ONLINE","HTML and CSS for Beginners course will give your all the knowledge you need to master HTML and CSS easily and quickly.",Edwin Diaz,4.5,35155,6,49,All Levels,329.99,https://img-c.udemycdn.com/course/480x270/405926_02c8_2.jpg
"The Complete ASP.NET MVC 5 Course","Learn to build fast and secure web applications with ASP.NET MVC 5 - The most popular course with 40,000+ students!",Mosh Hamedani,4.3,33415,7.5,139,All Levels,349.99,https://img-c.udemycdn.com/course/480x270/806922_6310_3.jpg